size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
400,45,400,0,0,0,71,0.025,0.04666666666666667,1,0,0,0.49520500004291534,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,500,0,1,1,85,0.17125,0.1111111111111111,1,0,0,0.6309350000228733,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,30,400,0,2,2,67,0.0425,0.24888888888888888,1,0,0,0.5316517000319436,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,200,0,3,3,32,-0.215,0.2911111111111111,1,0,0,0.6480307999299839,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,200,0,4,4,24,-0.175,0.4533333333333333,1,0,0,0.7315968000330031,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,75,200,0,5,5,36,-0.29375,0.22,1,0,0,0.6320888999616727,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,15,200,0,6,6,23,-0.18125,0.5844444444444444,1,0,0,0.4660270999884233,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,75,400,0,7,7,76,-0.25375,-0.19111111111111112,1,0,0,0.8158397000515833,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,75,100,0,8,8,16,-0.36125,0.45555555555555555,1,0,0,0.6319582000141963,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,200,0,9,9,22,-0.19375,0.5555555555555556,1,0,0,0.6148853999329731,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,300,0,10,10,50,-0.1375,0.20222222222222222,1,0,0,0.732805399922654,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,300,0,11,11,46,-0.05625,0.3244444444444444,1,0,0,0.6315874999854714,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,75,300,0,12,12,58,-0.31,-0.03777777777777778,1,0,0,0.5985415000468493,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,100,0,13,13,8,-0.31125,0.54,1,0,0,0.6481972000328824,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,200,0,14,14,30,-0.23,0.37777777777777777,1,0,0,0.48179410002194345,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,75,300,0,15,15,56,-0.27625,-0.008888888888888889,1,0,0,0.5312799999956042,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,200,0,16,16,37,-0.3075,0.21777777777777776,1,0,0,0.49879159999545664,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,300,0,17,17,45,-0.01375,0.34,1,0,0,0.48222540004644543,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
