size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
200,15,500,0,0,0,81,0.21375,0.38222222222222224,1,0,0,1.0145974999759346,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,200,0,1,1,32,-0.25375,0.28,1,0,0,0.7814289999660105,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,75,400,0,2,2,76,-0.23625,-0.20222222222222222,1,0,0,0.9152868001256138,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,400,0,3,3,75,-0.145,-0.042222222222222223,1,0,0,0.6317816998343915,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,300,0,4,4,41,-0.01375,0.4711111111111111,1,0,0,0.8148242000024766,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,400,0,5,5,70,-0.04,0.044444444444444446,1,0,0,0.5654130999464542,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,100,0,6,6,1,-0.25875,0.56,1,0,0,0.6151062999852002,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,500,0,7,7,84,0.17,0.1,1,0,0,1.0147818000987172,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,100,0,8,8,15,-0.31625,0.48,1,0,0,0.5484100000467151,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,300,0,9,9,53,-0.21375,0.12444444444444444,1,0,0,0.5654513000044972,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,100,0,10,10,7,-0.2625,0.49333333333333335,1,0,0,0.4488921999000013,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,300,0,11,11,57,-0.29,0.042222222222222223,1,0,0,0.5987272001802921,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,500,0,12,12,97,-0.20375,-0.4066666666666667,1,0,0,0.7141346000134945,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,60,300,0,13,13,54,-0.21625,0.1111111111111111,1,0,0,0.615076599875465,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,100,0,14,14,4,-0.27375,0.54,1,0,0,0.7154138998594135,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,300,0,15,15,42,-0.03625,0.45555555555555555,1,0,0,0.5818250998854637,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,100,0,16,16,8,-0.30375,0.5288888888888889,1,0,0,0.6480074999853969,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,200,0,17,17,28,-0.20125,0.35777777777777775,1,0,0,0.7487070001661777,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,400,0,18,18,67,0.05625,0.1511111111111111,1,0,0,0.5154011999256909,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,200,0,19,19,27,-0.16375,0.4444444444444444,1,0,0,0.44872789992950857,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,75,200,0,20,20,38,-0.2925,0.2688888888888889,1,0,0,0.5487673999741673,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,75,500,0,21,21,98,-0.2375,-0.3422222222222222,1,0,0,0.6804223998915404,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,500,0,22,22,87,0.2525,-0.0044444444444444444,1,0,0,0.532007500063628,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,200,0,23,23,20,-0.1425,0.5244444444444445,1,0,0,0.748414299916476,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,60,200,0,24,24,34,-0.2625,0.32666666666666666,1,0,0,0.5487162999343127,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,300,0,25,25,52,-0.195,0.08888888888888889,1,0,0,0.6317455000244081,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,300,0,26,26,49,-0.1125,0.19333333333333333,1,0,0,0.6490807998925447,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,200,0,27,27,25,-0.16375,0.43555555555555553,1,0,0,0.5483532999642193,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,400,0,28,28,72,-0.12375,-0.10888888888888888,1,0,0,0.7484257000032812,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,45,100,0,29,29,11,-0.3,0.5066666666666667,1,0,0,0.4987455999944359,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,100,0,30,30,2,-0.25625,0.5511111111111111,1,0,0,0.48181749996729195,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,300,0,31,31,45,-0.055,0.32,1,0,0,0.6484154001809657,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,75,300,0,32,32,58,-0.2925,0.08888888888888889,1,0,0,0.5652717999182642,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,300,0,33,33,59,-0.2575,0.017777777777777778,1,0,0,0.46544459997676313,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,75,300,0,34,34,56,-0.285,0.017777777777777778,1,0,0,0.7317634001374245,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,500,0,35,35,95,-0.07,-0.31333333333333335,1,0,0,0.49896389991045,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,500,0,36,36,88,0.0575,-0.11555555555555555,1,0,0,0.7811947001609951,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,100,0,37,37,9,-0.29125,0.5133333333333333,1,0,0,0.6151700001209974,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,100,0,38,38,0,-0.24625,0.5822222222222222,1,0,0,0.598358100047335,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,400,0,39,39,69,-0.02375,0.017777777777777778,1,0,0,0.64838119992055,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,400,0,40,40,66,0.04,0.21777777777777776,1,0,0,0.5651049001608044,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,500,0,41,41,82,0.18875,0.35333333333333333,1,0,0,0.6658522998914123,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,75,100,0,42,42,16,-0.3425,0.4533333333333333,1,0,0,0.7815159999299794,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,75,500,0,43,43,96,-0.215,-0.41555555555555557,1,0,0,0.9142609001137316,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,100,0,44,44,6,-0.265,0.5577777777777778,1,0,0,0.46500279987230897,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,400,0,45,45,60,0.09375,0.4288888888888889,1,0,0,0.9305692999623716,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,100,0,46,46,12,-0.3175,0.48,1,0,0,0.5816417001187801,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,400,0,47,47,79,-0.26375,-0.09333333333333334,1,0,0,0.6312357001006603,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,100,0,48,48,10,-0.295,0.5133333333333333,1,0,0,0.5318360000383109,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,60,400,0,49,49,74,-0.14625,-0.07111111111111111,1,0,0,0.5152548998594284,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,200,0,50,50,29,-0.205,0.35777777777777775,1,0,0,0.7150536000262946,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,60,100,0,51,51,14,-0.305,0.4711111111111111,1,0,0,0.38221000018529594,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,200,0,52,52,26,-0.17375,0.44666666666666666,1,0,0,0.4988305000588298,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,200,0,53,53,39,-0.3125,0.3022222222222222,1,0,0,0.44807290006428957,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,30,300,0,54,54,47,-0.05125,0.32666666666666666,1,0,0,0.5325048000086099,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,400,0,55,55,68,-0.0225,0.042222222222222223,1,0,0,0.7470190001185983,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,45,500,0,56,56,91,0.07375,-0.15333333333333332,1,0,0,0.4986068999860436,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,75,400,0,57,57,78,-0.24375,-0.16444444444444445,1,0,0,0.6312955000903457,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,500,0,58,58,99,-0.22,-0.3422222222222222,1,0,0,0.6486152999568731,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,15,300,0,59,59,43,-0.0275,0.4888888888888889,1,0,0,0.5815328999888152,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,300,0,60,60,50,-0.1025,0.19555555555555557,1,0,0,0.44872889993712306,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,300,0,61,61,40,-0.02375,0.48444444444444446,1,0,0,0.7481176001019776,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,200,0,62,62,30,-0.2125,0.37555555555555553,1,0,0,0.4988525998778641,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,300,0,63,63,46,-0.045,0.3088888888888889,1,0,0,0.5319164998363703,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,200,0,64,64,24,-0.165,0.43333333333333335,1,0,0,0.4989848998375237,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,500,0,65,65,93,-0.08625,-0.3088888888888889,1,0,0,0.6651681999210268,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,75,100,0,66,66,19,-0.31125,0.4177777777777778,1,0,0,0.38169130007736385,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,400,0,67,67,62,0.1025,0.3977777777777778,1,0,0,0.5480129001662135,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,15,100,0,68,68,3,-0.29125,0.56,1,0,0,0.4316360999364406,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,15,400,0,69,69,63,0.09375,0.44666666666666666,1,0,0,0.6152665999252349,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,100,0,70,70,5,-0.28875,0.5288888888888889,1,0,0,0.4321877001784742,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,15,200,0,71,71,23,-0.19625,0.5533333333333333,1,0,0,0.431957800174132,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,300,0,72,72,44,-0.03625,0.3244444444444444,1,0,0,0.5653559998609126,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,45,400,0,73,73,71,-0.06375,0.09111111111111111,1,0,0,0.7649916000664234,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,200,0,74,74,33,-0.24625,0.3244444444444444,1,0,0,0.48204699996858835,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,15,500,0,75,75,83,0.18125,0.3888888888888889,1,0,0,0.6316885999403894,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,30,400,0,76,76,64,0.04,0.2288888888888889,1,0,0,0.7982922999653965,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,45,200,0,77,77,31,-0.19,0.3377777777777778,1,0,0,0.398907900089398,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,75,100,0,78,78,18,-0.36125,0.47333333333333333,1,0,0,0.49910570005886257,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,75,200,0,79,79,36,-0.30625,0.2511111111111111,1,0,0,0.5818751000333577,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,400,0,80,80,65,0.04875,0.20666666666666667,1,0,0,0.6316662000026554,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,400,0,81,81,61,0.09375,0.4177777777777778,1,0,0,0.697912700008601,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,300,0,82,82,55,-0.19,0.1111111111111111,1,0,0,0.5483653000555933,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,60,500,0,83,83,94,-0.08125,-0.24444444444444444,1,0,0,0.6150137998629361,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
400,60,200,0,84,84,35,-0.2525,0.24888888888888888,1,0,0,0.5485919998027384,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,400,0,85,85,73,-0.14,-0.09333333333333334,1,0,0,0.5486753999721259,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,45,300,0,86,86,48,-0.10875,0.18222222222222223,1,0,0,0.6326005000155419,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,15,500,0,87,87,80,0.23,0.37777777777777777,1,0,0,0.8480875000823289,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,45,500,0,88,88,90,0.06875,-0.14,1,0,0,0.6318365000188351,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,45,500,0,89,89,89,0.06375,-0.14888888888888888,1,0,0,0.5484680999070406,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,100,0,90,90,17,-0.3225,0.4022222222222222,1,0,0,0.7486165000591427,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
100,60,500,0,91,91,92,-0.06625,-0.30666666666666664,1,0,0,0.6984286000952125,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,30,500,0,92,92,85,0.14625,0.09555555555555556,1,0,0,0.648413399932906,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,60,100,0,93,93,13,-0.32625,0.5,1,0,0,0.5486371000297368,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,30,500,0,94,94,86,0.1025,0.1622222222222222,1,0,0,0.6653974999208003,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,75,400,0,95,95,77,-0.23,-0.19333333333333333,1,0,0,0.6983666999731213,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
200,15,200,0,96,96,21,-0.13625,0.5333333333333333,1,0,0,0.6151318000629544,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
300,15,200,0,97,97,22,-0.135,0.5,1,0,0,0.46462440001778305,target,001,part3,2019_Jan_02_1701,fitts,60.0602764769956,
